영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
위대한 부재,Great Absence,2024,일본,장편,드라마,개봉,치카우라 케이,
아노라,Anora,2024,미국,장편,"드라마,코미디,멜로/로맨스",개봉,션 베이커,
복수는 나의것,Vengeance Is Mine,1979,일본,장편,"범죄,드라마",개봉,이마무라 쇼헤이,
마리우폴에서의 20일,20 Days in Mariupol,2023,미국,장편,"다큐멘터리,전쟁",개봉,므스티슬라우 체르노우,
룩킹포,Looking for,2023,한국,장편,드라마,개봉,김태희,스튜디오팔삼구
프리다. 삶이여 영원하라,FRIDA. VIVA LA VIDA,2019,이탈리아,장편,다큐멘터리,개봉,,
클로즈 유어 아이즈,Close Your Eyes,2023,스페인,장편,드라마,개봉,빅토르 에리세,
레드 원,RED ONE,2024,미국,장편,"액션,어드벤처,코미디,판타지,미스터리",개봉,제이크 캐스단,
데드라인,Deadline,2024,한국,장편,드라마,개봉,권봉근,제이티비씨(주)
극장판 미스터리라 하지 말지어다,Don't Call It Mystery The Movie,2023,일본,장편,"범죄,드라마,미스터리",개봉예정,마츠야마 히로아키,
나이브스 아웃,KNIVES OUT,2018,미국,장편,"미스터리,스릴러",개봉,라이언 존슨,
직원들 다 넣어보려는 야한 아내 무삭제판,,2023,일본,장편,성인물(에로),촬영준비,,
휴민트,HUMINT,2024,한국,장편,액션,촬영진행,류승완,(주)외유내강
파편,Fragment,2024,한국,장편,드라마,개봉준비,김성윤,"(주)콘텐츠지,(주)라온컴퍼니플러스"
미래의 미라이,MIRAI,2018,일본,장편,애니메이션,개봉,호소다 마모루,
언데드 다루는 법,Handling the undead,2024,노르웨이,장편,"드라마,공포(호러),미스터리",개봉준비,테아 히비스텐달,
지독한 사랑,Their Last Love Affair,1996,한국,장편,멜로/로맨스,개봉,이명세,(주)씨네이천
"럭키, 아파트","Lucky, Apartment",2024,한국,장편,드라마,개봉,강유가람,㈜인디스토리
혼자 물 빼는 이모 거들어줬다,SYUKUMONO KYOKUJYO-06,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
젖큰 여대생 온천 데이트,HAKAXTUPU ONNA,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
오피스 무수리-결혼 앞둔 여직원과 지방출장,HADARAKUTUMA-02,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
성고민 해결-야 너두 쌀 수 있어,SEIKAN KAUNSERA-02,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
발정난 수현의 젖은 성감대,,2024,한국,장편,성인물(에로),개봉예정,천성준,에이원 미디어
총을 든 스님,The Monk and the Gun,2023,기타,장편,"드라마,코미디",개봉예정,,
히든페이스,HIDDEN FACE,2024,한국,장편,스릴러,개봉예정,김대우,(주)스튜디오앤뉴
하와이 연가,Songs of Love from Hawaii,2024,한국,장편,드라마,개봉,이진영,나우 프로덕션
거친 녀석들 : 히틀러 암살단,DICK DYNAMITE 1944,2023,영국,장편,"전쟁,액션",개봉예정,,
움베르토 에코. 세계의 도서관,Umberto Eco. A Library of the World,2023,이탈리아,장편,다큐멘터리,개봉예정,,
딜리버리,Delivery,2024,한국,장편,"드라마,가족,코미디",개봉예정,장민준,한국영화아카데미
형수의 뜨거운 속살,SONOKINI SASERU,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
오피스와이프-물 빼줄게 모텔가자,SABOXTUTE HITASURA,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
새아들의 아이가 내 안에 자라고 있습니다 무삭제판,JYUKUBONO MUSUKO-14,2022,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
복면떡왕-20세 여대생과 노천섹스,SUTAIRU SURENDA,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
너의 이름은.,your name.,2016,일본,장편,"애니메이션,드라마,멜로/로맨스",개봉,신카이 마코토,
날씨의 아이,Weathering With You,2019,일본,장편,"애니메이션,판타지,멜로/로맨스",개봉,신카이 마코토,
애시드 레인: 죽음의 비,Acide,2023,프랑스,장편,기타,개봉예정,쥐스트 필리포,
아가미,The Way Fish Breathe,2023,한국,장편,"가족,드라마,미스터리",개봉예정,유승원,
자기만의 방,Home Sweet Home,2024,한국,장편,"가족,드라마,코미디,멜로/로맨스",개봉예정,오세호,(주)엠픽처스
언니 유정,Sister Yoojung,2022,한국,장편,"가족,드라마",개봉예정,정해일,
오빠 남진 라이브 콘서트,"Oppa, Namjin Live Concert",2024,한국,장편,공연,개봉예정,정인성,(주)바보들
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,"No Heaven, But Love.",2022,한국,장편,드라마,개봉,한제이,(주)에스더블유콘텐츠
고스트캣 앙주,Ghost Cat Anzu,2024,일본,장편,애니메이션,개봉준비,"야마시타 노부히로,쿠노 요코",
크리스마스에 기적을 만날 확률,Tokyo Godfathers,2003,일본,장편,"애니메이션,드라마,액션",개봉,곤 사토시,
4월이 되면 그녀는,"April, come she will",2024,일본,장편,"멜로/로맨스,드라마",개봉예정,,
더러운 돈에 손대지 마라,DIRTY MONEY,2019,한국,장편,"범죄,드라마",개봉,김민수,리양필름(주)
침대로 날 이끄는 참젖이모,KIREINA OSIRI-02,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
성고민 상담소-우선 버섯 맛 좀 볼게요,SEIKAN KAUNSERA-01,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
바지 내려준 이모의 거친 숨결,SYUKUMONO KYOKUJYO-05,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
2박3일 부부교환 캠프,HUHU KYANPU-01,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
돌싱어부: 대물의 추억,,2024,한국,장편,드라마,개봉,,
달의 차고 기움,PHASES OF THE MOON,2022,일본,장편,드라마,개봉,히로키 류이치,
기남기녀 단톡방-집밥만 먹으면 질리잖아,,2024,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,이타치,(주)영진크리에이티브
4분 44초,,2022,한국,장편,공포(호러),개봉,박종균,(주)영화사 궁
미스터 노부! 위로의 풍유,,2023,일본,장편,성인물(에로),개봉예정,,
유튜버 커플,,2023,일본,장편,성인물(에로),개봉예정,,
택배원 잘 먹겠습니다 ,,2023,일본,장편,성인물(에로),개봉예정,,
도망탐정,,2023,일본,장편,성인물(에로),개봉예정,,
미스터 노부! 투모로우 네버 고,,2023,일본,장편,성인물(에로),개봉예정,,
미스터 노부! 황금병기를 가진 여자,,2023,일본,장편,성인물(에로),개봉예정,,
모래바람,Sandstorm,2023,한국,장편,다큐멘터리,개봉예정,박재민,홍시네
검은 수녀들,Dark Nuns,2024,한국,장편,"미스터리,드라마",개봉예정,권혁재,영화사 집
삽입감이 다른 두 여자,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
나이 많은 청소 아줌마의 문란한 구멍,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
오빠 뜻대로 대주는 여동생,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
벌려준 거래처 여직원,,2024,한국,장편,성인물(에로),개봉예정,,(주)샤이커뮤니케이션즈
되살아나는 목소리,Voices of the Silenced,2023,"한국,일본",장편,다큐멘터리,개봉예정,"박수남,박마의",영화사 하르빈
여사장의 사생활,,2024,한국,장편,성인물(에로),개봉,,
강남풀싸롱,,2024,한국,장편,성인물(에로),개봉,,
매력적인 형수,,2024,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
연소일기,Time Still Turns the Pages,2023,홍콩,장편,드라마,개봉예정,탁역겸,
씨앗의 시간,Time of Seeds,2022,한국,장편,다큐멘터리,개봉예정,설수안,
친구 남편은 개망나니였지만 나는 만족했어,,,일본,장편,성인물(에로),개봉,,
성욕몬스타 친구엄마 츠바사,,,일본,장편,성인물(에로),개봉,,
간호사 애비,nurse abi,2024,필리핀,장편,멜로/로맨스,개봉,,
허 바디,Her body,2023,체코,장편,드라마,개봉,,
잠에서 깨니 새엄마가 크게 세웠다,HAMARIKURUUGIBO-01,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
이모가 끝까지 세워줬다,SYUKUMONO KYOKUJYO-07,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
아무나 대주는 아내,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
속 깊은 새엄마,JYUKUHAHA-21,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
변태남에게 길들여진 여친,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
그 집 마담 허리 잘 돌리더라,IYASIKEI-02,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,,
형수 넣고 한번더,,2023,일본,장편,멜로/로맨스,개봉,사쿠라비토,
캐롤,Carol,2015,"미국,영국",장편,드라마,개봉,토드 헤인즈,
청춘학당2 기생난입야사,,2016,한국,장편,"코미디,드라마",개봉,김대성,(주)영화사히트
붕가붕가 2024,,2024,한국,장편,성인물(에로),개봉,,
글래디에이터 Ⅱ,GladiatorⅡ,2024,미국,장편,"액션,사극",개봉예정,리들리 스콧,
메소드연기,METHOD ACTING,2024,한국,장편,"드라마,코미디",후반작업,이기혁,
어프렌티스,The Apprentice,2024,캐나다,장편,드라마,개봉,알리 아바시,
"본인 출연, 제리",Starring Jerry as Himself,2023,미국,장편,"다큐멘터리,스릴러,범죄",개봉예정,,
섹시 캣,"Three sisters of Thief Cosplay ""SEXY CAT""",2007,일본,장편,액션,개봉,토모마츠 나오유키,
"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,2024,한국,장편,멜로/로맨스,후반작업,조영명,"(주)영화사테이크,주식회사 자유로픽쳐스"
남편 상사의 물받이가 된 새댁,A Wife Corrupted Her Chastity,2022,일본,장편,성인물(에로),개봉,,
형수 : 시동생의 나쁜 짓,,2024,한국,장편,멜로/로맨스,개봉,,
형부를 먹어버린 처제,,2024,한국,장편,성인물(에로),개봉,,
호두까기 인형과 마술피리,The Nutcracker and the Magic Flute,2022,러시아,장편,애니메이션,개봉,,
최소한의 선의,"My Best, Your Least",2024,한국,장편,드라마,개봉,김현정,"(주)싸이더스,(주)고집스튜디오"
열 개의 우물,Ten Wells,2023,한국,장편,다큐멘터리,개봉,김미례,감 픽쳐스
쏜애플 불구경 2024 라이브 콘서트 필름,THORNAPPLE FIRE WATCHING 2024 LIVE CONCERT FILM,2024,한국,장편,공연,개봉,,
롱레그스,Longlegs,2023,미국,장편,"공포(호러),스릴러",개봉,,
극장판 고래와 나,WHALES AND I,2024,한국,장편,다큐멘터리,개봉,이큰별,㈜에스비에스
내가 좀비?,,2024,한국,장편,기타,개봉,성유경,변신리
실제정사,,2024,한국,장편,성인물(에로),개봉,김대성,바넴라인
완벽한 지인,,2024,한국,장편,성인물(에로),개봉,김대성,바넴라인
연의 편지,Your Letter,2024,한국,장편,애니메이션,후반작업,김용환,스튜디오엔(주)
나 혼자만 레벨업 -리어웨이크닝- ,SOLO LEVELING -ReAwakening-,2024,일본,장편,애니메이션,개봉예정,,
슈가,SUGAR,2024,한국,장편,"드라마,가족",촬영진행,최신춘,(주)메시지필름
파일럿,Pilot,2023,한국,장편,코미디,개봉,김한결,"쇼트케이크(주),(주)무비락"
천국,Paradise,2024,한국,장편,"액션,스릴러",개봉준비,손승웅,브릿지 프로덕션
뭐 그런 거지,So it goes,2024,한국,장편,"SF,멜로/로맨스,범죄,기타",개봉준비,이하람,
"알엠: 라이트 피플, 롱 플레이스","RM: Right People, Wrong Place",2024,한국,장편,다큐멘터리,개봉예정,,(주)하이브
허풍,The Bluff,2013,한국,장편,"코미디,판타지,멜로/로맨스",개봉,공자관,"골든타이드픽처스(주),밀크픽처스"
아름다운 이별은 없다,There Is No Beautiful Farewell,2013,한국,장편,"스릴러,공포(호러)",개봉,이상화,(주)스넵쏘울
우리동네 포르노스타,Les Kaira,2012,프랑스,장편,코미디,개봉,프랑크 가스탐비드,
뜨거운 욕망,A BURNING DESIRE,2011,프랑스,장편,"코미디,멜로/로맨스",개봉,베르나드 진진,
바디 앤 안티바디,Body/Antibody,2007,미국,장편,"코미디,드라마",개봉,케리 더글라스 다이,
위험한 아르바이트,Pretty Obsession,2012,미국,장편,스릴러,개봉,마이클 바움가튼,
스프링 브레이커스,Spring Breakers ,2013,미국,장편,"코미디,드라마,범죄",개봉,하모니 코린,
스위트 카르마,Sweet Karma,2009,캐나다,장편,"범죄,드라마,스릴러",개봉,앤드류 토마스 헌트,
대도시의 사랑법,Love in the Big City,2024,한국,장편,드라마,개봉,이언희,"(주)쇼박스,주식회사 고래와 유기농"
아티스트 봉만대,Playboy BONG,2013,한국,장편,코미디,개봉,봉만대,골든타이드픽처스(주)
아가미,Gill,2024,한국,장편,애니메이션,후반작업,안재훈,(주)연필로명상하기
인생 세탁소,A Ray of Sunlight,2024,한국,장편,"가족,판타지,드라마",후반작업,문숙희,
여름이 지나가면,When This Summer is Over,2024,한국,장편,드라마,후반작업,장병기,
브랜단 앤 트루디,When Brendan Met Trudy,2000,영국,장편,코미디,개봉,키에론 J 월쉬,
3학년 2학기,The Final Semester,2024,한국,장편,드라마,후반작업,이란희,작업장 봄
비트메이커,Beatmaker,2024,한국,장편,"뮤지컬,드라마",후반작업,신인기,(주)바다엔터테인먼트
올드 스쿨,Old School,2003,미국,장편,코미디,개봉,토드 필립스,
부기우기: 상위 1%의 섹스,Boogie Woogie,2009,영국,장편,"코미디,드라마",개봉,던컨 워드,
밀프,MILF,2010,미국,장편,"코미디,드라마",개봉,스콧 휠러,
남자 대 여자: 섹스가 문제다,Men Vs Women,2010,이탈리아,장편,코미디,개봉,파우스토 브리찌,
기묘한 서커스,Strange Circus,2005,일본,장편,미스터리,개봉,소노 시온,
겟코가면,Mask The Kekkou,2012,일본,장편,액션,개봉,카사기 노조무,
친구의 아내를 탐하다 2,Dos Mas Dos,2012,아르헨티나,장편,코미디,개봉,디에고 캐플란,
친구의 아내를 탐하다,The Holy Quaternity,2012,체코,장편,코미디,개봉,얀 흐레베이크,
저스트 어 이어 ,I Give It a Year,2012,영국,장편,"코미디,멜로/로맨스",개봉,댄 마저,
베르테르,Werther,2020,"독일,오스트리아 ",장편,공연,개봉예정,,
섹슈얼 어드벤쳐,MY AWKWARD SEXUAL ADVENTURE,2012,캐나다,장편,"코미디,멜로/로맨스",개봉,숀 개리티,
처녀들의 만찬,Virgin Alexander,2011,미국,장편,"코미디,드라마",개봉,"샬롯 바렛,션 팰런",
완전한 사육 2 - 사랑의 40일,Perfect Education 2,2001,일본,장편,범죄,개봉,니시야마 요이치,
원나잇스탠드,One-night Stand,2015,한국,장편,"스릴러,드라마,멜로/로맨스",개봉,지길웅,(주)전망좋은 영화사
보디히트,Body Heat,1981,미국,장편,"범죄,드라마,스릴러",개봉,로렌스 캐스단,
죽여주는 여자,Kill Me Tender,2003,스페인,장편,"코미디,드라마",개봉,라몬 드 에스파냐,
열애,The Tamarind Seed,1974,"미국,영국",장편,드라마,개봉,블레이크 에드워즈,인코퍼레이티드텔레비젼
칼리지,College,2008,미국,장편,코미디,개봉,뎁 헤이갠,
러브 앤드 섹스,Love & Sex,2000,미국,장편,코미디,개봉,발레리 브라이먼,
옥보단2012 : 천하애정비법,Due West : Our Sex Journey,2012,홍콩,장편,"코미디,멜로/로맨스",개봉,호요휘,
걸스 곤 데드,GIRLS GONE DEAD,2012,미국,장편,"스릴러,코미디",개봉,"마이클 호프만 Jr.,아론 T. 웰즈",
더 킬러스,The Killers,2023,한국,장편,"드라마,액션,스릴러",개봉,"김종관,노덕,장항준,이명세","(주)빅인스퀘어,㈜프로덕션에므"
섹스 주식회사,"Cougars, Inc",2011,미국,장편,"코미디,멜로/로맨스",개봉,K. 애셔 레빈,
AV스타납치사건,,2012,한국,장편,스릴러,개봉,김춘찬,골든타이드픽처스(주)
순진한 유학생,Papii Old Man,2012,일본,장편,"코미디,드라마",개봉,마에노 토모야,
완벽한 파트너,My Secret Partner,2011,한국,장편,코미디,개봉,박헌수,"(주)영화사참,락시픽쳐스"
완벽한 파트너,Terumae alien,2012,일본,장편,"멜로/로맨스,드라마",개봉,코시자카 야스시,
8 1/2 우먼,8 ½ Women,1999,프랑스,장편,"코미디,드라마",개봉,피터 그리너웨이,디럭스 프로덕션
킬링타임,,2024,한국,장편,스릴러,촬영진행,장준엽,(주)퍼펙트스톰필름
완벽한 파트너-감독판,,2011,한국,장편,코미디,개봉,박헌수,"(주)영화사참,락시픽쳐스"
매직 마이크,Magic Mike,2012,미국,장편,코미디,개봉,스티븐 소더버그,
아메리칸 파이: 19금 동창회,AMERICAN: REUNIO,2012,미국,장편,"코미디,멜로/로맨스",개봉,"존 허위츠,헤이든 쉬로스버그",
캣 런,Cat Run,2011,미국,장편,"액션,코미디",개봉,존 스톡웰,
